Fecha,Proveedor Original,Proveedor Normalizado,Monto MXN,Centro de Costo,Concepto Simple,Detalles,Tarjeta,Cód. Autorización
2026-05-21,DLO*UBER RIDES CIUDAD DE MEX,UBER RIDES,207.48,Corporativo,Transporte,Transporte local de personal y mensajería,7747,968386
2026-05-21,PAYPAL *IONOS INC,IONOS,250,Dir. Digital,Dominios y Hosting,,7747,966683
2026-05-21,OPENAI *CHATGPT SUBSCR,OPENAI *CHATGPT SUBSCR,356.26,Dir. Digital,Herramientas Digitales,Suscripción ChatGPT para el equipo,7747,961171
2026-05-21,BOLT (BY STACKBLITZ) SAN FRANC,BOLT (BY STACKBLITZ),890.63,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,969640
2026-05-20,UBER RIDE,UBER RIDE,63.38,Corporativo,Transporte,Transporte local de personal y mensajería,7747,896558
2026-05-20,UBER *TRIP HELP.UBER.C,UBER *TRIP HELP.UBER.C,69.61,Corporativo,Transporte,Revisar APP,7747,901848
2026-05-19,UBER RIDE,UBER RIDE,58.93,Corporativo,Transporte,Transporte local de personal y mensajería,7747,859196
2026-05-19,UBER RIDE,UBER RIDE,117.62,Corporativo,Transporte,Transporte local de personal y mensajería,7747,885312
2026-05-19,DLO*UBER RIDES,UBER RIDES,209.98,Corporativo,Transporte,Transporte local de personal y mensajería,7747,839261
2026-05-19,PAYPAL *CANVAPTYLIM,CANVAPTYLIM,330,Dir. Mercadotecnia,Herramientas Digitales,,7747,887183
2026-05-18,DLO*UBER RIDES,UBER RIDES,209.98,Corporativo,Transporte,Transporte local de personal y mensajería,7747,837306
2026-05-18,SUPABASE,SUPABASE,613.77,Dir. Digital,Hosting,Infraestructura base de datos y backend en la nube,7747,807109
2026-05-18,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),8934.07,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,824037
2026-05-15,OPENPAY*ROTOPLAS SERVI,ROTOPLAS SERVI,269,Cuernavaca,Otros,Bebbia Agua,7747,743670
2026-05-14,PAYPAL *IONOS INC,IONOS,250,Dir. Digital,Dominios y Hosting,,7747,712439
2026-05-14,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),1776.96,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,704475
2026-05-13,DLO*UBER RIDE,UBER RIDE,119.94,Corporativo,Transporte,Transporte local de personal y mensajería,7747,666730
2026-05-13,UBER *TRIP HELP.UBER.C,UBER *TRIP HELP.UBER.C,141.17,Corporativo,Transporte,Revisar plataforma,7747,670344
2026-05-13,PAYPAL *TOTALPLAYTE,TOTALPLAYTE,770,Cuernavaca,Comunicaciones,Internet,7747,667400
2026-05-13,ARDO.TECHNOLOGY,ARDO.TECHNOLOGY,4060,Dir. Digital,Herramientas Digitales,Servicios tecnológicos Ardo,7747,636791
2026-05-12,UBER RIDE,UBER RIDE,129.99,Corporativo,Transporte,Transporte local de personal y mensajería,7747,598870
2026-05-12,STR*AMAZON,AMAZON,174.04,Morelia,Insumos,,7747,641369
2026-05-12,Amazon Mexico,AMAZON,208.05,Morelia,Insumos,,7747,632114
2026-05-12,STR*AMAZON,AMAZON,273.61,Morelia,Insumos,,7747,643322
2026-05-12,STR*AMAZON,AMAZON,296.12,Morelia,Insumos,,7747,626118
2026-05-12,IONOS INC,IONOS,500,Dir. Digital,Herramientas Digitales,,7747,629566
2026-05-12,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),1772.68,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,610609
2026-05-12,Amazon Mexico,AMAZON,3779,Morelia,Comunicaciones,Equipo de telefonia,7747,595330
2026-05-11,STR*AMAZON,AMAZON,1,Corporativo,Otros,,7747,594420
2026-05-11,TELCEL INBURSA R6 CR,TELCEL INBURSA R6 CR,549,Corporativo,Telefonía,Planes de telefonía celular corporativos,7747,591331
2026-05-09,IONOS INC,IONOS,1540,Dir. Digital,Dominios y Hosting,,7747,536237
2026-05-09,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),1772.68,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,536334
2026-05-09,FARM DEL AHORRO,FARM DEL AHORRO,4907.8,Sin Asignar,Otros,Medicamento Christofer,1012,542263
2026-05-08,IONOS INC,IONOS,292.14,Dir. Digital,Dominios y Hosting,,7747,522131
2026-05-08,PAYPAL *IONOS INC,IONOS,944,Dir. Digital,Dominios y Hosting,,7747,520444
2026-05-07,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),1777.06,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,480223
2026-05-06,UBER RIDE,UBER RIDE,119.98,Corporativo,Transporte,Transporte local de personal y mensajería,7747,398378
2026-05-06,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),1789.65,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,429974
2026-05-05,UBER RIDE,UBER RIDE,109.98,Corporativo,Transporte,Transporte local de personal y mensajería,7747,369223
2026-05-05,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),1804.12,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,382254
2026-05-04,TELCEL INBURSA R9 CR,TELCEL INBURSA R9 CR,549,Corporativo,Telefonía,Planes de telefonía celular corporativos,7747,349469
2026-05-04,TELCEL INBURSA R9 CR,TELCEL INBURSA R9 CR,549,Corporativo,Telefonía,Planes de telefonía celular corporativos,7747,337610
2026-05-04,TELCEL INBURSA R9 CR,TELCEL INBURSA R9 CR,549,Corporativo,Telefonía,Planes de telefonía celular corporativos,7747,337609
2026-05-04,TELCEL INBURSA R9 CR,TELCEL INBURSA R9 CR,549,Corporativo,Telefonía,Planes de telefonía celular corporativos,7747,349471
2026-05-04,TELCEL INBURSA R9 CR,TELCEL INBURSA R9 CR,654.99,Corporativo,Telefonía,Planes de telefonía celular corporativos,7747,349452
2026-05-04,BOLT (BY STACKBLITZ),BOLT (BY STACKBLITZ),1803.72,Dir. Digital,Herramientas Digitales,Herramienta de compilación y sandbox de desarrollo,7747,342970
2026-05-01,ADOBE 2,ADOBE 2,944.09,Dir. Mercadotecnia,Herramientas Digitales,Licencias Suite Creativa Adobe de diseño,7747,249234
2026-05-01,SAMS VENTA EN LINEA,SAMS VENTA EN LINEA,17038.92,Dir. Digital,Comunicaciones,Equipos de computo,7747,284141